# Granade 15cm Diameter:

Achse ARIS oben auf dem Objekt 
    position: 
      x: 1.263516
      y: 1.252357
      z: -1.0917249999999998

Sonar Vorne rechteseite. Spize:
      x: 1.6512390000000001
      y: 1.2631050000000001
      z: -1.1809090000000002

**Object point:** (1.263516, 1.252357, -1.180909)
Note: Objekt nicht in TF


aris_file,aris_idx,aris_onset,gantry_file,gantry_idx,gantry_offset,gopro_file,gopro_idx,gopro_offset,notes
data/aris/day2/2023-09-21_110049,20,58,data/gantry/day2/2023-09-21-11-00-50_15cm_mortar.csv,17,3062000.0,data/gopro/day2/clips_sd/GX030012_01.mp4,18,0,"- Trajectory: flyby (z: 250, y: 1250)
- Tilt: -60°
- Roll: 0°
- Pan: -180°
- Min Transmit
- 15dB"
data/aris/day2/2023-09-21_110229,21,125,data/gantry/day2/2023-09-21-11-02-34_15cm_mortar.csv,18,3079000.0,data/gopro/day2/clips_sd/GX030012_02.mp4,19,0,"- Trajectory: flyby (z: 250, y: 1250)
- Tilt: -90°
- Roll: 0°
- Pan: -180°
- Min Transmit
- 15dB
- impossible to match"
data/aris/day2/2023-09-21_110411,22,67,data/gantry/day2/2023-09-21-11-04-12_15cm_mortar.csv,19,3406001.0,data/gopro/day2/clips_sd/GX030012_03.mp4,20,0,"- Trajectory: flyby (z: 250, y: 1250)
- Tilt: -90°
- Roll: 0°
- Pan: -180°
- Max Transmit
- 5dB
- impossible to match"
